City,Locality,Property_Type,RERA_Approved,BHK,Bathrooms,Balconies,Floor,Age_of_Property_years,Ready_to_Move,Furnishing,Parking,Facing,Gated_Community,Lift_Available,Water_Supply,Security_Guard,Gym,Swimming_Pool,Power_Backup,Clubhouse,Play_Area,Near_School_km,Near_Hospital_km,Near_Metro_km,Near_Market_km,Monthly_Maintenance,EMI_Per_Lakh,Interest_Rate,Resale,Property_Tax_Annual,Pollution_Index,Noise_Index,Crime_Rate,Internet_Availability,Public_Transport_Score,Flood_Zone,Earthquake_Zone,Civic_Amenities_Rating,Market_Demand_Rating,Rental_Yield_Percent,Carpet_Area_sqft,Total_Floors,Expected_Price_Lakhs
Pune,Viman Nagar,Independent House,Yes,2,2,0,19,17,No,Unfurnished,No,South,Yes,Yes,Corporation,No,No,No,No,Yes,No,0.48,1.33,7.39,2.03,1584,773.33,7.45,Yes,10237,58.9,80.8,22.0,9.5,5.7,Yes,No,6.3,8.9,2.51,911,26,70.09
Hyderabad,Kukatpally,Independent House,Yes,3,4,2,6,5,No,Furnished,No,West,Yes,No,Corporation,Yes,Yes,No,Yes,Yes,Yes,0.69,0.51,4.78,1.03,4957,794.95,8.68,No,13915,34.9,80.7,41.8,8.7,9.4,No,Yes,7.5,5.5,2.26,667,12,57.82
Chandigarh,Sector 22,Villa,No,2,2,0,11,15,Yes,Furnished,Yes,West,Yes,No,Corporation,No,No,No,Yes,Yes,Yes,1.15,2.86,3.77,1.54,3305,1074.41,9.14,No,20000,57.5,74.6,16.8,7.5,5.3,Yes,No,6.6,6.3,2.41,1025,16,98.48
Patna,Boring Road,Villa,Yes,4,4,0,3,17,No,Furnished,No,North,No,No,Corporation,Yes,No,No,Yes,No,No,2.32,1.75,5.11,1.73,3677,860.78,7.69,No,20742,82.7,69.9,30.2,8.8,8.1,Yes,Yes,6.2,5.6,3.57,2158,11,93.81
Mumbai,Goregaon,Independent House,Yes,1,2,1,4,5,No,Semi-Furnished,No,North,No,Yes,Borewell,Yes,No,No,No,No,No,4.72,2.72,0.97,0.7,7860,863.51,6.98,No,17759,86.1,58.7,34.1,7.2,7.1,No,No,8.2,6.5,2.21,1000,8,432.5
Visakhapatnam,Madhurawada,Villa,No,4,4,2,7,1,Yes,Semi-Furnished,Yes,North,No,No,Both,No,No,Yes,No,Yes,Yes,1.3,4.7,4.7,2.62,3836,1117.22,9.25,No,22443,64.8,54.0,55.9,7.8,9.3,No,No,6.0,6.3,4.32,845,17,65.84
Mumbai,Borivali,Apartment,Yes,3,3,0,12,15,Yes,Furnished,No,East,Yes,Yes,Both,No,Yes,No,Yes,Yes,No,3.58,2.77,3.37,2.81,4561,1040.68,8.38,No,15020,56.7,43.0,42.1,9.9,5.0,Yes,Yes,6.9,6.4,4.1,769,12,211.26
Chandigarh,Zirakpur,Villa,Yes,3,3,2,14,10,Yes,Furnished,No,East,Yes,No,Corporation,Yes,Yes,No,No,Yes,Yes,0.5,4.76,5.82,1.4,6850,704.52,7.85,Yes,13450,85.9,43.0,45.9,9.2,5.8,Yes,No,7.4,6.2,3.41,1597,14,106.46
Patna,Boring Road,Apartment,Yes,2,3,1,16,22,Yes,Furnished,No,West,No,Yes,Both,Yes,Yes,Yes,Yes,No,No,1.08,4.79,6.43,1.29,2017,1193.91,8.0,Yes,9526,56.8,50.4,23.8,8.4,5.6,No,No,8.9,6.4,4.33,1833,22,91.32
Jaipur,Mansarovar,Independent House,No,1,1,2,1,16,No,Furnished,No,East,No,No,Corporation,No,No,No,No,No,Yes,0.67,0.82,2.21,1.94,5674,772.43,8.2,No,8591,76.9,79.9,58.5,6.6,5.7,No,No,6.0,7.9,3.79,1835,5,75.41
Bengaluru,HSR Layout,Apartment,No,1,2,2,5,11,No,Unfurnished,No,South,No,Yes,Both,No,No,Yes,Yes,No,No,0.79,2.58,2.88,2.77,2783,1136.3,7.03,Yes,11339,56.8,45.8,52.1,6.4,6.1,No,No,5.3,7.8,3.85,1134,8,114.35
Hyderabad,Gachibowli,Independent House,Yes,3,3,0,11,23,Yes,Semi-Furnished,Yes,South,No,No,Both,Yes,Yes,No,No,No,Yes,4.71,5.97,3.92,1.71,3416,715.15,9.05,Yes,23263,85.9,66.6,30.8,9.1,6.0,Yes,No,9.6,8.0,2.47,2004,17,152.72
Jaipur,Malviya Nagar,Villa,No,2,2,0,2,3,Yes,Furnished,No,West,Yes,No,Both,No,No,No,No,No,No,3.58,0.46,3.52,1.3,3386,907.49,8.61,No,16709,38.7,76.5,57.5,8.0,9.7,No,No,9.1,9.5,3.02,418,3,16.32
Hyderabad,Madhapur,Apartment,No,1,2,2,9,5,Yes,Unfurnished,No,East,Yes,No,Borewell,No,No,Yes,Yes,Yes,No,0.49,3.26,2.85,0.44,6566,1024.51,9.12,No,7716,75.4,84.1,20.8,6.5,8.0,Yes,No,10.0,7.5,3.54,2159,9,210.7
Delhi,Lajpat Nagar,Independent House,Yes,3,3,2,6,24,No,Unfurnished,Yes,North,No,No,Both,No,Yes,No,No,No,No,3.19,3.12,7.85,2.94,7278,1142.95,8.39,No,7845,86.2,56.3,30.4,7.5,6.2,Yes,Yes,6.4,7.3,3.5,1291,10,421.61
Pune,Viman Nagar,Villa,No,2,2,0,13,12,No,Semi-Furnished,No,West,Yes,Yes,Both,No,No,Yes,No,No,Yes,3.33,1.08,7.51,2.76,4773,747.06,7.53,Yes,13615,80.5,44.3,21.5,9.6,8.8,No,No,6.5,8.7,4.17,2176,22,209.42
Kochi,Kaloor,Independent House,No,4,5,0,9,21,No,Semi-Furnished,Yes,South,No,No,Borewell,Yes,Yes,Yes,Yes,No,No,3.72,5.49,7.65,1.19,2308,935.08,6.91,No,18317,88.5,52.5,12.9,9.8,7.0,No,No,6.6,9.9,3.19,824,19,52.1
Hyderabad,Madhapur,Independent House,Yes,2,2,2,12,23,No,Semi-Furnished,Yes,West,No,No,Corporation,Yes,No,No,Yes,No,Yes,0.16,5.6,5.2,2.36,3299,810.11,8.16,No,1777,30.2,63.1,38.7,9.0,9.4,No,No,6.0,9.5,4.05,1070,18,121.29
Chennai,Tambaram,Apartment,Yes,4,5,0,8,15,Yes,Furnished,No,West,No,No,Corporation,Yes,No,Yes,No,Yes,No,4.96,4.68,2.76,1.2,5588,756.86,9.18,Yes,3141,30.5,65.1,41.6,9.6,7.8,No,Yes,7.5,6.9,2.92,1213,12,96.88
Hyderabad,Kukatpally,Villa,Yes,4,4,1,9,7,Yes,Furnished,Yes,East,No,Yes,Corporation,Yes,No,No,No,Yes,Yes,2.01,5.85,2.35,1.59,4306,1102.22,7.02,No,6092,55.6,73.3,52.9,6.4,9.9,No,Yes,6.1,9.8,2.68,548,9,37.44
Kochi,Kaloor,Villa,Yes,4,4,0,15,7,Yes,Unfurnished,Yes,East,No,No,Corporation,No,Yes,Yes,No,No,No,1.53,3.09,5.67,0.72,7776,1103.2,6.52,No,3577,77.1,55.3,11.9,8.8,6.6,Yes,No,9.6,6.5,2.5,1203,15,57.58
